model,state_name,state_abbr,trump,biden
Decision Desk HQ,Alabama,AL,0.9914,0.008600000000000052
Decision Desk HQ,Alaska,AK,0.8072,0.19279999999999997
Decision Desk HQ,Arizona,AZ,0.4364,0.5636
Decision Desk HQ,Arkansas,AR,0.9997,2.9999999999996696e-4
Decision Desk HQ,California,CA,5e-4,0.9995
Decision Desk HQ,Colorado,CO,0.0617,0.9383
Decision Desk HQ,Connecticut,CT,0.0024,0.9976
Decision Desk HQ,Delaware,DE,0.0018,0.9982
Decision Desk HQ,District of Columbia,DC,0,1
Decision Desk HQ,Florida,FL,0.3644,0.6355999999999999
Decision Desk HQ,Georgia,GA,0.4263,0.5737
Decision Desk HQ,Hawaii,HI,0,1
Decision Desk HQ,Idaho,ID,0.9995,4.999999999999449e-4
Decision Desk HQ,Illinois,IL,0.0072,0.9928
Decision Desk HQ,Indiana,IN,0.8871,0.1129
Decision Desk HQ,Iowa,IA,0.5117,0.48829999999999996
Decision Desk HQ,Kansas,KS,0.9435,0.056499999999999995
Decision Desk HQ,Kentucky,KY,0.9233,0.07669999999999999
Decision Desk HQ,Louisiana,LA,0.9947,0.005299999999999971
Decision Desk HQ,Maine,ME,0.0606,0.9394
Decision Desk HQ,Maryland,MD,2e-4,0.9998
Decision Desk HQ,Massachusetts,MA,0,1
Decision Desk HQ,ME-1,ME-1,0.0172,0.9828
Decision Desk HQ,ME-2,ME-2,0.4394,0.5606
Decision Desk HQ,Michigan,MI,0.1808,0.8192
Decision Desk HQ,Minnesota,MN,0.1724,0.8276
Decision Desk HQ,Mississippi,MS,0.9602,0.039799999999999947
Decision Desk HQ,Missouri,MO,0.8131,0.18689999999999996
Decision Desk HQ,Montana,MT,0.7983,0.2017
Decision Desk HQ,NE-1,NE-1,0.9049,0.09509999999999996
Decision Desk HQ,NE-2,NE-2,0.2961,0.7039
Decision Desk HQ,NE-3,NE-3,1,0
Decision Desk HQ,Nebraska,NE,1,0
Decision Desk HQ,Nevada,NV,0.2264,0.7736000000000001
Decision Desk HQ,New Hampshire,NH,0.106,0.894
Decision Desk HQ,New Jersey,NJ,0.0087,0.9913
Decision Desk HQ,New Mexico,NM,0.0628,0.9372
Decision Desk HQ,New York,NY,1e-4,0.9999
Decision Desk HQ,North Carolina,NC,0.4028,0.5972
Decision Desk HQ,North Dakota,ND,0.9835,0.01649999999999996
Decision Desk HQ,Ohio,OH,0.5334,0.4666
Decision Desk HQ,Oklahoma,OK,0.9983,0.0017000000000000348
Decision Desk HQ,Oregon,OR,0.0246,0.9754
Decision Desk HQ,Pennsylvania,PA,0.2508,0.7492
Decision Desk HQ,Rhode Island,RI,0.0034,0.9966
Decision Desk HQ,South Carolina,SC,0.8467,0.1533
Decision Desk HQ,South Dakota,SD,0.9835,0.01649999999999996
Decision Desk HQ,Tennessee,TN,0.9669,0.03310000000000002
Decision Desk HQ,Texas,TX,0.5955,0.40449999999999997
Decision Desk HQ,Utah,UT,0.9763,0.023700000000000054
Decision Desk HQ,Vermont,VT,9e-4,0.9991
Decision Desk HQ,Virginia,VA,0.059000000000000004,0.941
Decision Desk HQ,Washington,WA,0.0016,0.9984
Decision Desk HQ,West Virginia,WV,0.9755,0.024499999999999966
Decision Desk HQ,Wisconsin,WI,0.2355,0.7645
Decision Desk HQ,Wyoming,WY,0.9999,9.999999999998899e-5
