model,state_name,state_abbr,trump,biden
JHK,Alabama,AL,0.9998999999999999,1e-4
JHK,Alaska,AK,0.8395,0.1605
JHK,Arizona,AZ,0.2925,0.7075
JHK,Arkansas,AR,0.9998999999999999,1e-4
JHK,California,CA,0,1
JHK,Colorado,CO,0.0124,0.9876
JHK,Connecticut,CT,1e-4,0.9998999999999999
JHK,Delaware,DE,0,1
JHK,District of Columbia,DC,0,1
JHK,Florida,FL,0.2861,0.7139
JHK,Georgia,GA,0.3912,0.6088
JHK,Hawaii,HI,0,1
JHK,Idaho,ID,0.9948,0.0052
JHK,Illinois,IL,1e-4,0.9998999999999999
JHK,Indiana,IN,0.9822,0.0178
JHK,Iowa,IA,0.47340000000000004,0.5266
JHK,Kansas,KS,0.9848,0.0152
JHK,Kentucky,KY,1,0
JHK,Louisiana,LA,0.9995,5e-4
JHK,Maine,ME,0.009899999999999999,0.9901000000000001
JHK,Maryland,MD,0,1
JHK,Massachusetts,MA,1e-4,0.9998999999999999
JHK,ME-1,ME-1,9e-4,0.9991
JHK,ME-2,ME-2,0.3517,0.6483
JHK,Michigan,MI,0.0669,0.9331
JHK,Minnesota,MN,0.0484,0.9516
JHK,Mississippi,MS,0.9986,0.0014000000000000002
JHK,Missouri,MO,0.9782,0.0218
JHK,Montana,MT,0.9062,0.09380000000000001
JHK,NE-1,NE-1,0.9954999999999999,0.0045000000000000005
JHK,NE-2,NE-2,0.20929999999999999,0.7907
JHK,NE-3,NE-3,1,0
JHK,Nebraska,NE,0.9993000000000001,7.000000000000001e-4
JHK,Nevada,NV,0.0895,0.9105
JHK,New Hampshire,NH,0.0496,0.9504
JHK,New Jersey,NJ,2e-4,0.9998
JHK,New Mexico,NM,0.0034000000000000002,0.9965999999999999
JHK,New York,NY,0,1
JHK,North Carolina,NC,0.33649999999999997,0.6635
JHK,North Dakota,ND,1,0
JHK,Ohio,OH,0.5428999999999999,0.4571
JHK,Oklahoma,OK,1,0
JHK,Oregon,OR,0.001,0.9990000000000001
JHK,Pennsylvania,PA,0.1002,0.8998
JHK,Rhode Island,RI,5e-4,0.9995
JHK,South Carolina,SC,0.9381999999999999,0.061799999999999994
JHK,South Dakota,SD,0.9995999999999999,4e-4
JHK,Tennessee,TN,0.9993000000000001,7.000000000000001e-4
JHK,Texas,TX,0.6377,0.36229999999999996
JHK,Utah,UT,0.99,0.01
JHK,Vermont,VT,1e-4,0.9998999999999999
JHK,Virginia,VA,0.0045000000000000005,0.9954999999999999
JHK,Washington,WA,2e-4,0.9998
JHK,West Virginia,WV,0.9995999999999999,4e-4
JHK,Wisconsin,WI,0.0722,0.9278
JHK,Wyoming,WY,0.9987,0.0013
