model,state_name,state_abbr,trump,biden
Lean Tossup,Alabama,AL,0.9994,6e-4
Lean Tossup,Alaska,AK,0.8877,0.1123
Lean Tossup,Arizona,AZ,0.0459,0.9541
Lean Tossup,Arkansas,AR,0.9999,1e-4
Lean Tossup,California,CA,0,1
Lean Tossup,Colorado,CO,1e-4,0.9999
Lean Tossup,Connecticut,CT,0,1
Lean Tossup,Delaware,DE,0,1
Lean Tossup,District of Columbia,DC,0,1
Lean Tossup,Florida,FL,0.1375,0.8625
Lean Tossup,Georgia,GA,0.2242,0.7758
Lean Tossup,Hawaii,HI,0,1
Lean Tossup,Idaho,ID,1,0
Lean Tossup,Illinois,IL,0,1
Lean Tossup,Indiana,IN,0.9976,0.0024
Lean Tossup,Iowa,IA,0.2862,0.7138
Lean Tossup,Kansas,KS,0.9241,0.0759
Lean Tossup,Kentucky,KY,1,0
Lean Tossup,Louisiana,LA,0.8928,0.1072
Lean Tossup,Maine,ME,8e-4,0.9992
Lean Tossup,Maryland,MD,0,1
Lean Tossup,Massachusetts,MA,0,1
Lean Tossup,ME-1,ME-1,0,1
Lean Tossup,ME-2,ME-2,0.2409,0.7591
Lean Tossup,Michigan,MI,0.0077,0.9923
Lean Tossup,Minnesota,MN,0.0057,0.9943
Lean Tossup,Mississippi,MS,0.9725,0.0275
Lean Tossup,Missouri,MO,0.9884,0.0116
Lean Tossup,Montana,MT,0.9067,0.0933
Lean Tossup,NE-1,NE-1,0.9992,8e-4
Lean Tossup,NE-2,NE-2,0.0542,0.9458
Lean Tossup,NE-3,NE-3,1,0
Lean Tossup,Nebraska,NE,1,0
Lean Tossup,Nevada,NV,0.022,0.978
Lean Tossup,New Hampshire,NH,0.0081,0.9919
Lean Tossup,New Jersey,NJ,0,1
Lean Tossup,New Mexico,NM,0,1
Lean Tossup,New York,NY,0,1
Lean Tossup,North Carolina,NC,0.2333,0.7667
Lean Tossup,North Dakota,ND,1,0
Lean Tossup,Ohio,OH,0.3228,0.6772
Lean Tossup,Oklahoma,OK,1,0
Lean Tossup,Oregon,OR,1e-4,0.9999
Lean Tossup,Pennsylvania,PA,0.0261,0.9739
Lean Tossup,Rhode Island,RI,0,1
Lean Tossup,South Carolina,SC,0.9079,0.0921
Lean Tossup,South Dakota,SD,1,0
Lean Tossup,Tennessee,TN,0.9998,2e-4
Lean Tossup,Texas,TX,0.2866,0.7134
Lean Tossup,Utah,UT,0.9722,0.0278
Lean Tossup,Vermont,VT,0,1
Lean Tossup,Virginia,VA,4e-4,0.9996
Lean Tossup,Washington,WA,0,1
Lean Tossup,West Virginia,WV,1,0
Lean Tossup,Wisconsin,WI,0.0295,0.9705
Lean Tossup,Wyoming,WY,1,0
