model,state_name,state_abbr,trump,biden
New Statesman,Alabama,AL,NA,NA
New Statesman,Alaska,AK,NA,NA
New Statesman,Arizona,AZ,NA,NA
New Statesman,Arkansas,AR,NA,NA
New Statesman,California,CA,NA,NA
New Statesman,Colorado,CO,NA,NA
New Statesman,Connecticut,CT,NA,NA
New Statesman,Delaware,DE,NA,NA
New Statesman,Florida,FL,NA,NA
New Statesman,Georgia,GA,NA,NA
New Statesman,Hawaii,HI,NA,NA
New Statesman,Idaho,ID,NA,NA
New Statesman,Illinois,IL,NA,NA
New Statesman,Indiana,IN,NA,NA
New Statesman,Iowa,IA,NA,NA
New Statesman,Kansas,KS,NA,NA
New Statesman,Kentucky,KY,NA,NA
New Statesman,Louisiana,LA,NA,NA
New Statesman,Maine,ME,NA,NA
New Statesman,Maryland,MD,NA,NA
New Statesman,Massachusetts,MA,NA,NA
New Statesman,Michigan,MI,NA,NA
New Statesman,Minnesota,MN,NA,NA
New Statesman,Mississippi,MS,NA,NA
New Statesman,Missouri,MO,NA,NA
New Statesman,Montana,MT,NA,NA
New Statesman,Nebraska,NE,NA,NA
New Statesman,Nevada,NV,NA,NA
New Statesman,New Hampshire,NH,NA,NA
New Statesman,New Jersey,NJ,NA,NA
New Statesman,New Mexico,NM,NA,NA
New Statesman,New York,NY,NA,NA
New Statesman,North Carolina,NC,NA,NA
New Statesman,North Dakota,ND,NA,NA
New Statesman,Ohio,OH,NA,NA
New Statesman,Oklahoma,OK,NA,NA
New Statesman,Oregon,OR,NA,NA
New Statesman,Pennsylvania,PA,NA,NA
New Statesman,Rhode Island,RI,NA,NA
New Statesman,South Carolina,SC,NA,NA
New Statesman,South Dakota,SD,NA,NA
New Statesman,Tennessee,TN,NA,NA
New Statesman,Texas,TX,NA,NA
New Statesman,Utah,UT,NA,NA
New Statesman,Vermont,VT,NA,NA
New Statesman,Virginia,VA,NA,NA
New Statesman,Washington,WA,NA,NA
New Statesman,West Virginia,WV,NA,NA
New Statesman,Wisconsin,WI,NA,NA
New Statesman,Wyoming,WY,NA,NA
New Statesman,District of Columbia,DC,NA,NA
New Statesman,ME-1,ME-1,NA,NA
New Statesman,ME-2,ME-2,NA,NA
New Statesman,NE-1,NE-1,NA,NA
New Statesman,NE-2,NE-2,NA,NA
New Statesman,NE-3,NE-3,NA,NA
