model,state_name,state_abbr,trump,biden
Plural Vote,Alabama,AL,NA,NA
Plural Vote,Alaska,AK,NA,NA
Plural Vote,Arizona,AZ,NA,NA
Plural Vote,Arkansas,AR,NA,NA
Plural Vote,California,CA,NA,NA
Plural Vote,Colorado,CO,NA,NA
Plural Vote,Connecticut,CT,NA,NA
Plural Vote,Delaware,DE,NA,NA
Plural Vote,Florida,FL,NA,NA
Plural Vote,Georgia,GA,NA,NA
Plural Vote,Hawaii,HI,NA,NA
Plural Vote,Idaho,ID,NA,NA
Plural Vote,Illinois,IL,NA,NA
Plural Vote,Indiana,IN,NA,NA
Plural Vote,Iowa,IA,NA,NA
Plural Vote,Kansas,KS,NA,NA
Plural Vote,Kentucky,KY,NA,NA
Plural Vote,Louisiana,LA,NA,NA
Plural Vote,Maine,ME,NA,NA
Plural Vote,Maryland,MD,NA,NA
Plural Vote,Massachusetts,MA,NA,NA
Plural Vote,Michigan,MI,NA,NA
Plural Vote,Minnesota,MN,NA,NA
Plural Vote,Mississippi,MS,NA,NA
Plural Vote,Missouri,MO,NA,NA
Plural Vote,Montana,MT,NA,NA
Plural Vote,Nebraska,NE,NA,NA
Plural Vote,Nevada,NV,NA,NA
Plural Vote,New Hampshire,NH,NA,NA
Plural Vote,New Jersey,NJ,NA,NA
Plural Vote,New Mexico,NM,NA,NA
Plural Vote,New York,NY,NA,NA
Plural Vote,North Carolina,NC,NA,NA
Plural Vote,North Dakota,ND,NA,NA
Plural Vote,Ohio,OH,NA,NA
Plural Vote,Oklahoma,OK,NA,NA
Plural Vote,Oregon,OR,NA,NA
Plural Vote,Pennsylvania,PA,NA,NA
Plural Vote,Rhode Island,RI,NA,NA
Plural Vote,South Carolina,SC,NA,NA
Plural Vote,South Dakota,SD,NA,NA
Plural Vote,Tennessee,TN,NA,NA
Plural Vote,Texas,TX,NA,NA
Plural Vote,Utah,UT,NA,NA
Plural Vote,Vermont,VT,NA,NA
Plural Vote,Virginia,VA,NA,NA
Plural Vote,Washington,WA,NA,NA
Plural Vote,West Virginia,WV,NA,NA
Plural Vote,Wisconsin,WI,NA,NA
Plural Vote,Wyoming,WY,NA,NA
Plural Vote,District of Columbia,DC,NA,NA
Plural Vote,ME-1,ME-1,NA,NA
Plural Vote,ME-2,ME-2,NA,NA
Plural Vote,NE-1,NE-1,NA,NA
Plural Vote,NE-2,NE-2,NA,NA
Plural Vote,NE-3,NE-3,NA,NA
