model,state_name,state_abbr,trump,biden
PredictIt,Alabama,AL,0.9607843137254901,0.0392156862745098
PredictIt,Alaska,AK,0.8640776699029126,0.1359223300970874
PredictIt,Arizona,AZ,0.4368932038834951,0.5631067961165048
PredictIt,Arkansas,AR,0.97,0.03
PredictIt,California,CA,0.06862745098039216,0.9313725490196078
PredictIt,Colorado,CO,0.09,0.91
PredictIt,Connecticut,CT,0.04,0.96
PredictIt,Delaware,DE,0.04,0.96
PredictIt,District of Columbia,DC,0.03,0.97
PredictIt,Florida,FL,0.5523809523809524,0.4476190476190477
PredictIt,Georgia,GA,0.5576923076923076,0.4423076923076923
PredictIt,Hawaii,HI,0.04950495049504951,0.9504950495049505
PredictIt,Idaho,ID,0.9702970297029703,0.0297029702970297
PredictIt,Illinois,IL,0.0594059405940594,0.9405940594059405
PredictIt,Indiana,IN,0.95,0.05
PredictIt,Iowa,IA,0.6078431372549019,0.39215686274509803
PredictIt,Kansas,KS,0.96,0.04
PredictIt,Kentucky,KY,0.97,0.03
PredictIt,Louisiana,LA,0.97,0.03
PredictIt,Maine,ME,0.09090909090909091,0.9090909090909092
PredictIt,Maryland,MD,0.04950495049504951,0.9504950495049505
PredictIt,Massachusetts,MA,0.04950495049504951,0.9504950495049505
PredictIt,ME-1,ME-1,0.049019607843137254,0.9509803921568627
PredictIt,ME-2,ME-2,0.52,0.48
PredictIt,Michigan,MI,0.2912621359223301,0.7087378640776699
PredictIt,Minnesota,MN,0.2641509433962264,0.7358490566037735
PredictIt,Mississippi,MS,0.95,0.05
PredictIt,Missouri,MO,0.9504950495049505,0.04950495049504951
PredictIt,Montana,MT,0.8921568627450981,0.10784313725490197
PredictIt,NE-1,NE-1,0.9292929292929294,0.07070707070707072
PredictIt,NE-2,NE-2,0.25742574257425743,0.7425742574257426
PredictIt,NE-3,NE-3,0.9801980198019802,0.019801980198019802
PredictIt,Nebraska,NE,0.97,0.03
PredictIt,Nevada,NV,0.25742574257425743,0.7425742574257426
PredictIt,New Hampshire,NH,0.22330097087378642,0.7766990291262136
PredictIt,New Jersey,NJ,0.0594059405940594,0.9405940594059405
PredictIt,New Mexico,NM,0.10784313725490197,0.8921568627450981
PredictIt,New York,NY,0.06,0.94
PredictIt,North Carolina,NC,0.45631067961165045,0.5436893203883496
PredictIt,North Dakota,ND,0.9603960396039604,0.039603960396039604
PredictIt,Ohio,OH,0.6893203883495145,0.3106796116504854
PredictIt,Oklahoma,OK,0.9702970297029703,0.0297029702970297
PredictIt,Oregon,OR,0.06930693069306931,0.9306930693069306
PredictIt,Pennsylvania,PA,0.3883495145631068,0.6116504854368932
PredictIt,Rhode Island,RI,0.039603960396039604,0.9603960396039604
PredictIt,South Carolina,SC,0.9405940594059405,0.0594059405940594
PredictIt,South Dakota,SD,0.9504950495049505,0.04950495049504951
PredictIt,Tennessee,TN,0.97,0.03
PredictIt,Texas,TX,0.6826923076923076,0.3173076923076923
PredictIt,Utah,UT,0.9696969696969697,0.030303030303030304
PredictIt,Vermont,VT,0.04,0.96
PredictIt,Virginia,VA,0.09900990099009901,0.900990099009901
PredictIt,Washington,WA,0.05,0.95
PredictIt,West Virginia,WV,0.97,0.03
PredictIt,Wisconsin,WI,0.28431372549019607,0.7156862745098039
PredictIt,Wyoming,WY,0.98,0.02
