model,state_name,state_abbr,trump,biden
Progress Campaign,Alabama,AL,0.9990000000000001,0.001
Progress Campaign,Alaska,AK,0.929,0.071
Progress Campaign,Arizona,AZ,0.354,0.6459999999999999
Progress Campaign,Arkansas,AR,0.9990000000000001,0.001
Progress Campaign,California,CA,0.001,0.9990000000000001
Progress Campaign,Colorado,CO,0.035,0.965
Progress Campaign,Connecticut,CT,0.001,0.9990000000000001
Progress Campaign,Delaware,DE,0.001,0.9990000000000001
Progress Campaign,District of Columbia,DC,0.001,0.9990000000000001
Progress Campaign,Florida,FL,0.444,0.556
Progress Campaign,Georgia,GA,0.444,0.556
Progress Campaign,Hawaii,HI,0.001,0.9990000000000001
Progress Campaign,Idaho,ID,0.9990000000000001,0.001
Progress Campaign,Illinois,IL,0.001,0.9990000000000001
Progress Campaign,Indiana,IN,0.966,0.034
Progress Campaign,Iowa,IA,0.506,0.494
Progress Campaign,Kansas,KS,0.948,0.052000000000000005
Progress Campaign,Kentucky,KY,0.9990000000000001,0.001
Progress Campaign,Louisiana,LA,0.9990000000000001,0.001
Progress Campaign,Maine,ME,0.045,0.955
Progress Campaign,Maryland,MD,0.001,0.9990000000000001
Progress Campaign,Massachusetts,MA,0.001,0.9990000000000001
Progress Campaign,ME-1,ME-1,0.001,0.9990000000000001
Progress Campaign,ME-2,ME-2,0.47,0.53
Progress Campaign,Michigan,MI,0.11,0.89
Progress Campaign,Minnesota,MN,0.11599999999999999,0.884
Progress Campaign,Mississippi,MS,0.9109999999999999,0.08900000000000001
Progress Campaign,Missouri,MO,0.8690000000000001,0.131
Progress Campaign,Montana,MT,0.897,0.10300000000000001
Progress Campaign,NE-1,NE-1,0.9990000000000001,0.001
Progress Campaign,NE-2,NE-2,0.267,0.733
Progress Campaign,NE-3,NE-3,0.9990000000000001,0.001
Progress Campaign,Nebraska,NE,0.9990000000000001,0.001
Progress Campaign,Nevada,NV,0.184,0.816
Progress Campaign,New Hampshire,NH,0.121,0.879
Progress Campaign,New Jersey,NJ,0.001,0.9990000000000001
Progress Campaign,New Mexico,NM,0.027000000000000003,0.973
Progress Campaign,New York,NY,0.001,0.9990000000000001
Progress Campaign,North Carolina,NC,0.434,0.5660000000000001
Progress Campaign,North Dakota,ND,0.9990000000000001,0.001
Progress Campaign,Ohio,OH,0.5,0.5
Progress Campaign,Oklahoma,OK,0.9990000000000001,0.001
Progress Campaign,Oregon,OR,0.009000000000000001,0.991
Progress Campaign,Pennsylvania,PA,0.248,0.752
Progress Campaign,Rhode Island,RI,0.001,0.9990000000000001
Progress Campaign,South Carolina,SC,0.787,0.213
Progress Campaign,South Dakota,SD,0.9990000000000001,0.001
Progress Campaign,Tennessee,TN,0.9990000000000001,0.001
Progress Campaign,Texas,TX,0.46799999999999997,0.532
Progress Campaign,Utah,UT,0.997,0.002
Progress Campaign,Vermont,VT,0.001,0.9990000000000001
Progress Campaign,Virginia,VA,0.040999999999999995,0.9590000000000001
Progress Campaign,Washington,WA,0.001,0.9990000000000001
Progress Campaign,West Virginia,WV,0.9990000000000001,0.001
Progress Campaign,Wisconsin,WI,0.155,0.845
Progress Campaign,Wyoming,WY,0.9990000000000001,0.001
