model,state_name,state_abbr,trump,biden
Race to the White House,Alabama,AL,NA,NA
Race to the White House,Alaska,AK,NA,NA
Race to the White House,Arizona,AZ,NA,NA
Race to the White House,Arkansas,AR,NA,NA
Race to the White House,California,CA,NA,NA
Race to the White House,Colorado,CO,NA,NA
Race to the White House,Connecticut,CT,NA,NA
Race to the White House,Delaware,DE,NA,NA
Race to the White House,Florida,FL,NA,NA
Race to the White House,Georgia,GA,NA,NA
Race to the White House,Hawaii,HI,NA,NA
Race to the White House,Idaho,ID,NA,NA
Race to the White House,Illinois,IL,NA,NA
Race to the White House,Indiana,IN,NA,NA
Race to the White House,Iowa,IA,NA,NA
Race to the White House,Kansas,KS,NA,NA
Race to the White House,Kentucky,KY,NA,NA
Race to the White House,Louisiana,LA,NA,NA
Race to the White House,Maine,ME,NA,NA
Race to the White House,Maryland,MD,NA,NA
Race to the White House,Massachusetts,MA,NA,NA
Race to the White House,Michigan,MI,NA,NA
Race to the White House,Minnesota,MN,NA,NA
Race to the White House,Mississippi,MS,NA,NA
Race to the White House,Missouri,MO,NA,NA
Race to the White House,Montana,MT,NA,NA
Race to the White House,Nebraska,NE,NA,NA
Race to the White House,Nevada,NV,NA,NA
Race to the White House,New Hampshire,NH,NA,NA
Race to the White House,New Jersey,NJ,NA,NA
Race to the White House,New Mexico,NM,NA,NA
Race to the White House,New York,NY,NA,NA
Race to the White House,North Carolina,NC,NA,NA
Race to the White House,North Dakota,ND,NA,NA
Race to the White House,Ohio,OH,NA,NA
Race to the White House,Oklahoma,OK,NA,NA
Race to the White House,Oregon,OR,NA,NA
Race to the White House,Pennsylvania,PA,NA,NA
Race to the White House,Rhode Island,RI,NA,NA
Race to the White House,South Carolina,SC,NA,NA
Race to the White House,South Dakota,SD,NA,NA
Race to the White House,Tennessee,TN,NA,NA
Race to the White House,Texas,TX,NA,NA
Race to the White House,Utah,UT,NA,NA
Race to the White House,Vermont,VT,NA,NA
Race to the White House,Virginia,VA,NA,NA
Race to the White House,Washington,WA,NA,NA
Race to the White House,West Virginia,WV,NA,NA
Race to the White House,Wisconsin,WI,NA,NA
Race to the White House,Wyoming,WY,NA,NA
Race to the White House,District of Columbia,DC,NA,NA
Race to the White House,ME-1,ME-1,NA,NA
Race to the White House,ME-2,ME-2,NA,NA
Race to the White House,NE-1,NE-1,NA,NA
Race to the White House,NE-2,NE-2,NA,NA
Race to the White House,NE-3,NE-3,NA,NA
