model,state_name,state_abbr,trump,biden
The Cycle,Alabama,AL,NA,NA
The Cycle,Alaska,AK,NA,NA
The Cycle,Arizona,AZ,NA,NA
The Cycle,Arkansas,AR,NA,NA
The Cycle,California,CA,NA,NA
The Cycle,Colorado,CO,NA,NA
The Cycle,Connecticut,CT,NA,NA
The Cycle,Delaware,DE,NA,NA
The Cycle,Florida,FL,NA,NA
The Cycle,Georgia,GA,NA,NA
The Cycle,Hawaii,HI,NA,NA
The Cycle,Idaho,ID,NA,NA
The Cycle,Illinois,IL,NA,NA
The Cycle,Indiana,IN,NA,NA
The Cycle,Iowa,IA,NA,NA
The Cycle,Kansas,KS,NA,NA
The Cycle,Kentucky,KY,NA,NA
The Cycle,Louisiana,LA,NA,NA
The Cycle,Maine,ME,NA,NA
The Cycle,Maryland,MD,NA,NA
The Cycle,Massachusetts,MA,NA,NA
The Cycle,Michigan,MI,NA,NA
The Cycle,Minnesota,MN,NA,NA
The Cycle,Mississippi,MS,NA,NA
The Cycle,Missouri,MO,NA,NA
The Cycle,Montana,MT,NA,NA
The Cycle,Nebraska,NE,NA,NA
The Cycle,Nevada,NV,NA,NA
The Cycle,New Hampshire,NH,NA,NA
The Cycle,New Jersey,NJ,NA,NA
The Cycle,New Mexico,NM,NA,NA
The Cycle,New York,NY,NA,NA
The Cycle,North Carolina,NC,NA,NA
The Cycle,North Dakota,ND,NA,NA
The Cycle,Ohio,OH,NA,NA
The Cycle,Oklahoma,OK,NA,NA
The Cycle,Oregon,OR,NA,NA
The Cycle,Pennsylvania,PA,NA,NA
The Cycle,Rhode Island,RI,NA,NA
The Cycle,South Carolina,SC,NA,NA
The Cycle,South Dakota,SD,NA,NA
The Cycle,Tennessee,TN,NA,NA
The Cycle,Texas,TX,NA,NA
The Cycle,Utah,UT,NA,NA
The Cycle,Vermont,VT,NA,NA
The Cycle,Virginia,VA,NA,NA
The Cycle,Washington,WA,NA,NA
The Cycle,West Virginia,WV,NA,NA
The Cycle,Wisconsin,WI,NA,NA
The Cycle,Wyoming,WY,NA,NA
The Cycle,District of Columbia,DC,NA,NA
The Cycle,ME-1,ME-1,NA,NA
The Cycle,ME-2,ME-2,NA,NA
The Cycle,NE-1,NE-1,NA,NA
The Cycle,NE-2,NE-2,NA,NA
The Cycle,NE-3,NE-3,NA,NA
